doctor_id,doctor,location,date,start_time,end_time,slot_status,appointment_id
D001,Dr. Meera Shah,Koramangala,2025-09-05,10:00,10:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,10:15,10:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,10:30,10:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,10:45,11:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,11:00,11:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,11:15,11:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,11:30,11:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,11:45,12:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,12:00,12:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,12:15,12:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,12:30,12:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,12:45,13:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,14:00,14:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,14:15,14:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,14:30,14:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,14:45,15:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,15:00,15:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,15:15,15:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,15:30,15:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,15:45,16:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,16:00,16:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,16:15,16:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,16:30,16:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-05,16:45,17:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,10:00,10:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,10:15,10:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,10:30,10:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,10:45,11:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,11:00,11:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,11:15,11:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,11:30,11:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,11:45,12:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,12:00,12:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,12:15,12:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,12:30,12:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,12:45,13:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,14:00,14:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,14:15,14:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,14:30,14:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,14:45,15:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,15:00,15:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,15:15,15:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,15:30,15:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,15:45,16:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,16:00,16:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,16:15,16:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,16:30,16:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-06,16:45,17:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,10:00,10:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,10:15,10:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,10:30,10:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,10:45,11:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,11:00,11:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,11:15,11:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,11:30,11:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,11:45,12:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,12:00,12:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,12:15,12:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,12:30,12:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,12:45,13:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,14:00,14:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,14:15,14:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,14:30,14:45,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,14:45,15:00,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,15:00,15:15,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,15:15,15:30,available,
D001,Dr. Meera Shah,Koramangala,2025-09-07,15:30,15:45,available,
